names,stars,dates,clicks,reviews
Jyoti Savita,5,2021-04-08,5,All OK but a glitch is reels option is not opening and not showing
Andrew Pillay,2,2021-04-17,0,Does not work with all images when adding them from gallery
M. Charan,1,2021-01-30,337,"Really disappointed with this app, damn slow and uneasy to operate, instead of using this app, we can directly login from Google Chrome, that is far better option."
Rishav Pathania,5,2021-03-06,78,Trust me this is better one than Normal instagram app on thet one i can't see the video in which someone mention me or i mention someone there is a big bug in other vision sometime i hear audio but can't see the video but here everything is fine 😀
vahn29_s,2,2021-03-03,458,Why I give just 2 star because... First of all its good to save more storage in the device 2nd its is good for less consume in data.. The thing that i bothered is i cannot.vote the poll and all the pivtures were cropped as hell its very anooying for me
Shub M,3,2021-03-21,17,"Dark mode is not properly working. The theme become dark but the text should be white, but the text also become dark and it becomes unable to see."
B,3,2021-04-22,0,I can't add a text on my snapgram video. Please add some useful features
Fuga Bei Ninae,5,2021-03-09,86,"Thanks for this. Saves data for real but for more a more robust experience, fly back to the main App. This still is good. Like Facebook lite ...."
Lama Gerges,1,2021-03-14,63,1 star because first it has to load if you want to open anything 2 you cant look at your posts all together you have to view them one by one 3 i wanted to open a chat and it wouldnt let me 4 you cant use stickers or vote on polls. The normal insagram is way better
Resh ma,5,2021-03-28,37,I like this app so much but voice messages are not available it wants original version instagram so fix this problem and video extend to 3 minutes fix this thanking you
Shubham Shishir Patil,4,2021-03-28,15,Resolution issue noticed. Navigation bar stubbles above bottom screen. Try minimizing loading time for entire page when clicked upon single photos.
Abhishek Mahajan,3,2021-04-23,0,It's Good app but doesn't give the actual experience as compared to the original app.
Niraj verma,3,2021-04-15,23,In Instagram lite have no option for video chat and some features are not available as compare of instagram app.
Juako Queca,1,2021-04-05,10,"Way too limited. Can't quote messages when replying, can't view certain posts or banishing messages, won't save your likes. Completely useless."
Amit Kumar Yadav,1,2021-03-30,36,Needs a hell lot of improvements!!! It crashes most of the times and is worse than the Web version.
Shankar Chhetri,4,2021-02-20,54,Right swipe from home screen should bring chat list.It should show active status of mutual followers. There should be a reaction n replying option to every text.Conversation should be more like that of Whatsapp conversation .
Subhoti Nikam,1,2021-04-21,0,"Very bad application because , they cannot scroll down on videos and photos."
Nyasha Maravanyika,5,2021-04-10,6,Heaving a great experience with app but it misses dark mode 😑
Badr Khiyat,3,2021-03-10,33,"There's a blank part down the screen. The app should consider supporting full screen size, specially for those using gestures instead of the one/three buttons for navigation"
Arlan Lerum,5,2021-03-27,23,very nice application it is lite app of Instagram why it is made? Instagram is app that used 100MB storage and over so it is problem so Instagram Lite made for low end phones or 5gb internal storage it is very nice it is my feedback for developer or publisher of ig lite❤️
HOUDH HARIZ,1,2021-03-22,36,I cannot see my dms properly. Everytime I click a chat box all messages are glitches I have to depend on my notification bar all the time. This needs fixing !!!!
ihtesham Haider,4,2021-01-31,148,Four stars because I really don't like the rendering dots.... When you open it... Can you please change it. With slicing or something cool.
Ahmmed Zunaed Rahman,3,2021-04-14,3,"Please fix screen scroll problem.. After scrolling, it staying same things"
Amirah Anuar,5,2021-03-09,48,"Wow, the lite version of instagram. I kind of impress. Can't comment much as I just download it. Hope it works. Thanks developer for creating the lite version."
aditi wegad,5,2021-01-31,153,"If you don't want distraction from reels and unwanted videos, it's best.... I would surely recommend you to download it, if you easily get distracted by insta reels 😇👍"
Muhammad Ali,1,2021-02-15,55,Disappointing. Totally it's working like a mobile website not app. Screen size not fitting perfectly in my device. Dark theme not supported. And animations not good
Raja Yasir,1,2021-02-02,56,This is the worst app i have ever seen😈😈 if there is 0 star i would give to this.i created a new account it shows link it with fb. My request is to fix the problem as soon as possible !!!
PREETI CHAUHAN,5,2021-03-31,14,"Alluring Attractive Georgette Dresses Vol 5 Fabric: Georgette Sleeves: Sleeves Are Not Included Size: S - 36 in , M - 38 in ,L - 40 In, XL -42 in, XXL -44 in Length: Up To 48 in Type: Stitched Description: It has 1 Piece of Women's Dress Pattern : Solid"
Suman Garai,2,2021-02-13,29,"the window of insta app is smaller than my phone's screen as a result leaving blank space above the chin. Moreover, no Dark Mode support & emoji replying support to DM's like of Messenger Lite. overall, lot of updates still required !"
Yosephin Nova,4,2021-04-17,3,"It's light and pretty satisfying so far, but could you add a dark mode too"
Wareesha Qadir,4,2021-02-24,28,Very good app Because it works on less data as well But there is one problem that we can not send voice message and vedio chat and we cant hear voice message thats why i am giving four stars
Dinesh Karthik,4,2021-02-01,54,All features are as good as instagram. But the main thing is dark mode. There is no dark mode option in instagram lite. Pls give an update and add the dark mode feature.
Alexey Volkov,1,2021-03-10,35,Dark mode is...interesting. Black font on dark grey background. :) And bottom navigation panel is missing more often than not.
sk988 gamer,5,2021-04-21,0,instagram error we limit how often you can do certain things on Instagram like sending messages to proctect our community
